DATE,DEXUSEU
1/2/2014,1.367
1/3/2014,1.3606
1/6/2014,1.3636
1/7/2014,1.3618
1/8/2014,1.3586
1/9/2014,1.3591
1/10/2014,1.3664
1/13/2014,1.3647
1/14/2014,1.3682
1/15/2014,1.3604
1/16/2014,1.36
1/17/2014,1.3554
1/20/2014,.
1/21/2014,1.356
1/22/2014,1.3546
1/23/2014,1.368
1/24/2014,1.368
1/27/2014,1.3679
1/28/2014,1.3662
1/29/2014,1.3663
1/30/2014,1.3549
1/31/2014,1.35
2/3/2014,1.3523
2/4/2014,1.3507
2/5/2014,1.3519
2/6/2014,1.3604
2/7/2014,1.3614
2/10/2014,1.3644
2/11/2014,1.3654
2/12/2014,1.3592
2/13/2014,1.3669
2/14/2014,1.369
2/17/2014,.
2/18/2014,1.3758
2/19/2014,1.3762
2/20/2014,1.369
2/21/2014,1.3722
2/24/2014,1.3744
2/25/2014,1.3749
2/26/2014,1.3668
2/27/2014,1.3724
2/28/2014,1.3806
3/3/2014,1.3763
3/4/2014,1.3731
3/5/2014,1.3734
3/6/2014,1.3848
3/7/2014,1.3868
3/10/2014,1.388
3/11/2014,1.3867
3/12/2014,1.3904
3/13/2014,1.3927
3/14/2014,1.3924
3/17/2014,1.3927
3/18/2014,1.3913
3/19/2014,1.391
3/20/2014,1.3784
3/21/2014,1.3783
3/24/2014,1.3784
3/25/2014,1.3777
3/26/2014,1.3786
3/27/2014,1.3752
3/28/2014,1.3753
3/31/2014,1.3777
4/1/2014,1.3804
4/2/2014,1.3761
4/3/2014,1.3708
4/4/2014,1.3704
4/7/2014,1.3745
4/8/2014,1.3802
4/9/2014,1.3816
4/10/2014,1.3892
4/11/2014,1.3898
4/14/2014,1.3824
4/15/2014,1.3806
4/16/2014,1.382
4/17/2014,1.3832
4/18/2014,1.3816
4/21/2014,1.379
4/22/2014,1.3804
4/23/2014,1.3814
4/24/2014,1.3828
4/25/2014,1.3838
4/28/2014,1.3844
4/29/2014,1.3808
4/30/2014,1.387
5/1/2014,1.3867
5/2/2014,1.3864
5/5/2014,1.3884
5/6/2014,1.3924
5/7/2014,1.3917
5/8/2014,1.3864
5/9/2014,1.3763
5/12/2014,1.376
5/13/2014,1.3711
5/14/2014,1.3718
5/15/2014,1.3712
5/16/2014,1.3708
5/19/2014,1.3716
5/20/2014,1.3702
5/21/2014,1.3657
5/22/2014,1.3652
5/23/2014,1.3628
5/26/2014,.
5/27/2014,1.3618
5/28/2014,1.3596
5/29/2014,1.3608
5/30/2014,1.364
6/2/2014,1.3606
6/3/2014,1.3624
6/4/2014,1.3619
6/5/2014,1.3618
6/6/2014,1.3639
6/9/2014,1.3589
6/10/2014,1.3543
6/11/2014,1.3532
6/12/2014,1.3556
6/13/2014,1.3522
6/16/2014,1.3578
6/17/2014,1.3543
6/18/2014,1.3567
6/19/2014,1.362
6/20/2014,1.3586
6/23/2014,1.3593
6/24/2014,1.3588
6/25/2014,1.3638
6/26/2014,1.361
6/27/2014,1.3631
6/30/2014,1.369
7/1/2014,1.3681
7/2/2014,1.3656
7/3/2014,1.361
7/4/2014,.
7/7/2014,1.3604
7/8/2014,1.3614
7/9/2014,1.363
7/10/2014,1.36
7/11/2014,1.3598
7/14/2014,1.362
7/15/2014,1.3573
7/16/2014,1.353
7/17/2014,1.353
7/18/2014,1.3515
7/21/2014,1.3524
7/22/2014,1.347
7/23/2014,1.3462
7/24/2014,1.3468
7/25/2014,1.3431
7/28/2014,1.344
7/29/2014,1.341
7/30/2014,1.3378
7/31/2014,1.339
8/1/2014,1.3436
8/4/2014,1.3414
8/5/2014,1.3366
8/6/2014,1.3355
8/7/2014,1.3362
8/8/2014,1.3412
8/11/2014,1.3385
8/12/2014,1.3357
8/13/2014,1.3367
8/14/2014,1.3376
8/15/2014,1.3392
8/18/2014,1.3358
8/19/2014,1.332
8/20/2014,1.3284
8/21/2014,1.3284
8/22/2014,1.3237
8/25/2014,1.3206
8/26/2014,1.3189
8/27/2014,1.3192
8/28/2014,1.3178
8/29/2014,1.315
9/1/2014,.
9/2/2014,1.3124
9/3/2014,1.3136
9/4/2014,1.2926
9/5/2014,1.2956
9/8/2014,1.2948
9/9/2014,1.2909
9/10/2014,1.2908
9/11/2014,1.2936
9/12/2014,1.2955
9/15/2014,1.2951
9/16/2014,1.2976
9/17/2014,1.2958
9/18/2014,1.2913
9/19/2014,1.2835
9/22/2014,1.2829
9/23/2014,1.2858
9/24/2014,1.2788
9/25/2014,1.2748
9/26/2014,1.2686
9/29/2014,1.2703
9/30/2014,1.2628
